Name,Hardness,Elemental Affinity,Quality,Description,Crafting Bonus
Voidstone,1250,Shadow,Very Rare,Stone-ore of complete magical nullity and void energy.,Silences magic; extreme shadow damage
Aetherstone,1150,Arcane,Very Rare,Stone with dense pure magical energy crystallized inside.,Greatly amplifies all magical effects
Blightmetal,1100,Necrotic,Very Rare,Metal from the deepest necrotic-convergence underground sites.,Extreme life drain; corrupts all metals nearby
Starlance,1200,"Arcane, Radiant",Very Rare,Thin lanced ore formations from meteorite deep impacts.,Pierces magical defenses; heavy arcane damage
Icemithril,1150,Ice,Very Rare,Mithril-class ore with absolute zero cold inside lattice.,Freeze on hit; mithril lightness preserved
Luminite,1100,Radiant,Very Rare,Ore of blinding inner radiant energy; painful to look at.,Extreme radiant damage; blinds all nearby
Tidalmetal,1050,Water,Very Rare,Metal from abyssal ocean floor tidal-energy convergence.,Very strong water resistance; cold damage aura
Aethersteel,2200,"Arcane, Force",Epic,Steel refined from pure aetheric energy; alien structure.,Amplifies all magic; kinetic force on any hit
Voidheart,2400,Shadow,Epic,A core ore of absolute void; radiates complete magical nullity.,Silences all magic in large area; immense shadow damage
Solarheart,2350,Solar,Epic,Ore forged in the heart of solar concentrations over ages.,Extreme radiant damage; annihilates darkness
Cosmicheart,2600,"Arcane, Radiant",Epic,Ore from interplanar convergence deep in other dimensions.,Boosts all magic to extreme levels; radiant damage
Chronoheart,2500,Temporal,Epic,Ore grown over tens of thousands of years in time-loops.,Time effects on all hits; enemies age on contact
Soulheart,2450,Arcane,Epic,Ore saturated with concentrated soul energy from convergence.,Extreme magical amplification; soul effects
Phantorheart,2300,Psychic,Epic,Ore of intense psychic energy; causes nightmares to holders.,Extreme psychic damage; mass confusion aura
Wyrmheart,2400,"Fire, Force",Epic,Ore grown inside the body of ancient great wyrms over ages.,Extreme fire damage; shatters all protective effects
Graveheart,2350,Necrotic,Epic,Ore of death energy concentration from deepest burial sites.,Extreme life drain; undead serve the wielder
Thunderheart,2500,"Lightning, Force",Epic,Ore with explosive thunder energy locked in dense matrix.,Extreme shock; mass knockback on any heavy hit
Wraithmetal,2200,"Shadow, Force",Epic,Metal with deep ghostly translucence and force mineral energy.,Bypasses all physical defense layers significantly
Dreamheart,2300,Psychic,Epic,Ore with dream-convergence energy; induces waking visions.,Mass confusion and psychic damage on any hit
Frostheart,2400,Ice,Epic,Ore of absolute cold concentration from deepest arctic voids.,Freezes all nearby enemies; cold immunity
Bloomblade,2150,Nature,Epic,Ore with explosive nature energy; living growth inside matrix.,Nature damage; grows and mends armor slowly
Tempestheart,2450,"Lightning, Air",Epic,Ore of storm-convergence energy; crackles constantly loud.,Extreme storm and shock damage; gale force aura
Soulvoid,2600,"Arcane, Shadow",Epic,Ore where soul and void energies merge into dark lattice.,Silences enemy magic; absorbs and amplifies spells
Solarvoid,2500,"Solar, Shadow",Epic,Ore of ecliptic convergence where sun and dark meet.,Dual radiant and shadow damage; eclipse aura
Bloodheart,2350,Necrotic,Epic,Ore pulsing with extreme life-drain blood mineral channels.,Extreme life drain; wounds cannot be healed
Arcanheart,2600,Arcane,Epic,Ore of pure crystallized magical force; alien formation.,Extreme magical amplification for all effects
Tidalheart,2300,Water,Epic,Ore from abyssal tidal convergence; constant water pressure.,Very heavy water effects; immense cold damage
Glacialheart,2400,Ice,Epic,Ore of glacial mass compressed over millions of cold years.,Extreme freeze; mass slow on any contact
Cosmicvoid,2700,"Arcane, Shadow",Epic,Ore grown where space-between-worlds meets shadow planes.,Boosts all dimensions magic; tears in reality
Phantomheart,2450,Psychic,Epic,Ore with overwhelming psychic energy; minds crack on touch.,Extreme psychic damage; mass confusion and fear
Blazeheart,2350,Fire,Epic,Ore of pure fire energy concentration; melts most minerals.,Extreme fire damage; melts through all armor
Shadowheart,2400,Shadow,Epic,Ore of pure dark-convergence; absolute light absorption inside.,Extreme shadow damage; absolute invisibility aura
Venomheart,2200,Poison,Epic,Ore saturated with concentrated lethal mineral toxin chains.,Extreme persistent poison; no healing while active
Aetherheart,2600,Arcane,Epic,Ore of pure aetheric crystallization; hums at all frequencies.,Extreme magical amplification; all affinity boost
Starheart,2800,"Arcane, Radiant",Epic,Ore grown in the core of fallen stars over deep time.,Extreme all magical effects; radiant devastation
Galeheart,2250,"Air, Force",Epic,Ore of extreme air concentration; near total weightlessness.,Removes all weight; hurricane force aura on wear
Sunvoid,2500,"Solar, Void",Epic,Ore where solar energy and void nullity create strange fusion.,Radiant damage and magic silence combined
Skyheart,2400,"Air, Lightning",Epic,Ore from sky-convergence; crackles with storm and wind inside.,Extreme storm damage; hurricane-level air aura
Thunderhollowite,2300,"Lightning, Force",Epic,Ore with hollow thunder-force mineral channels inside lattice.,Extreme thunder damage; ruptures armor layers
Cosmichallite,4500,"Arcane, Radiant",Legendary,A legendary ore from deep interplanar meteorite deposits.,Transcends all known magical limits
Shadowlord,4200,Shadow,Legendary,Ore worshipped by shadow cults as the metal of darkness itself.,Absolute darkness and immense shadow damage
Solarbrand,4800,Solar,Legendary,The rarest solar-convergence ore; forged only at solar maxima.,Annihilates all darkness; extreme radiant
Voidlord,5200,Shadow,Legendary,Ore of absolute void found only in null-space pockets between planes.,Silences all reality; void destruction
Thunderlord,4600,"Lightning, Force",Legendary,Ore from the most violent lightning-convergence storms ever seen.,Extreme thunder; shatters worlds on hit
Chronolord,5000,Temporal,Legendary,Ore of complete temporal convergence; time bends around it.,Freezes time briefly on powerful strikes
Soullord,4800,Arcane,Legendary,The densest known concentration of soul energy in ore form.,Extreme magical amplification; soul capture
Phantomlord,4400,Psychic,Legendary,Ore of such powerful psychic resonance that minds shatter near it.,Extreme psychic devastation; mass fear
Frostlord,4600,Ice,Legendary,Ore of absolute zero cold; freezes matter at the quantum level.,Absolute freeze; cold immunity for wielder
Gravlord,4800,Necrotic,Legendary,The most powerful necrotic-convergence ore in existence.,Extreme life drain; commands undead armies
Bloombrand,4200,Nature,Legendary,Ore of the most powerful nature-convergence in existence.,Nature magic transcendence; heals all allies
Wraithlord,4600,"Shadow, Force",Legendary,Ore where shadow and force merge completely; phases matter.,Bypasses all physical defenses entirely
Aetherlord,5000,Arcane,Legendary,The most powerful aetheric ore in known existence.,Transcends all magical limitations entirely
Sunlord,5200,Solar,Legendary,The apex of solar-energy ore formation; blinds from miles away.,Annihilates all darkness and shadow utterly
Starcore,5500,"Arcane, Radiant",Legendary,Ore from the core of an extinguished star.,Extreme all-damage; transcends magical limits
Galactic,6800,"Arcane, Void",Legendary,Ore formed in the space between galaxies over cosmic ages.,Dimensional damage; bends space on any hit
Cosmicvortex,7200,"Arcane, Force",Legendary,Ore of cosmic-vortex convergence; tears space on impact.,Space-bending damage; extreme kinetic force
Primordial,6500,"Earth, Force",Legendary,Ore from before the world existed; impossibly ancient.,Exceeds all known material limits; indestructible
Etherweave,7000,"Arcane, Air",Legendary,Ore woven from pure aetheric energy given material form.,Transcends all magic; reshapes reality in use
Abyssalheart,9500,Shadow,Mythic,Ore from the absolute void; predates creation itself.,Destroys reality at contact; unmeasurable shadow
Soultear,8500,Arcane,Mythic,Ore that tears the soul from anything it touches deeply.,Destroys magical binding; captures any soul
Chronocore,11000,Temporal,Mythic,Ore from a collapsed time loop; loops existence on impact.,Rewrites time on powerful hit; ages all matter
Starbreaker,12000,"Arcane, Radiant",Mythic,Ore from a supernova impact; destroys matter on any contact.,Destroys magical protection; extreme all-damage
Voidtear,10000,Shadow,Mythic,Ore of absolute void that tears holes in the fabric of space.,Silences all existence; tears dimensional fabric
Dreambreaker,9000,Psychic,Mythic,Ore that unmakes consciousness; no mind survives its touch.,Destroys minds permanently; mass psychic death
Soulvortex,11500,Arcane,Mythic,Ore of soul-vortex convergence; consumes all magic near it.,Absorbs and destroys all magical effects nearby
Cosmicbreaker,13000,"Arcane, Force",Mythic,Ore from the collision of two galaxies; unmeasurable density.,Transcends all damage limits; breaks any barrier
Godmetal,18000,"Arcane, Radiant, Force",Divine,Metal said to have fallen from a dying god's body at world's end. It reshapes reality around it and no known force can damage it.,Transcends all limitations; rewrites the world on use
Cobbriron,45,Earth,Common,Low-grade iron mixed with cobblestone aggregate.,Basic paving and construction
Saltcrust,50,Water,Common,Salt-encrusted ore from dried seabed evaporation flats.,Mild corrosion on contact metals
Scorchedslate,60,Fire,Common,Slate burned by ancient fires; still smells of old char.,Minor fire resistance on armor
Crakore,55,Earth,Common,Cracked ore from surface deposits exposed to weathering.,Bulk material; modest defense
Bleachglass,45,None,Common,Sun-bleached glass ore from high-exposure desert deposits.,No notable bonuses
Thornshale,65,Nature,Common,Shale with thorn-mineral crystalline surface protrusions.,Minor piercing on weapon edges
Moorstone,50,Water,Common,Pale brownish stone from waterlogged moorland deposits.,Mild water resistance
Coldshale,45,Ice,Common,Shale pulled from below permafrost; always slightly chilly.,Minor chill on contact
Gloomslate,55,Shadow,Common,Dull grey slate that seems to absorb nearby ambient light.,Minor stealth affinity
Oakiron,40,Nature,Common,Iron ore with dense organic oak-mineral grain patterns.,Minor nature affinity on weapons
Chalkore,35,None,Common,Soft chalky ore of poor mineral quality.,Basic construction filler
Fernferrite,50,Nature,Common,Ferrite with fern-like mineral growth bonded to surface.,Minor nature resistance on armor
Tidecrystal,560,Water,Uncommon,Crystal grown in tidal surge mineral deposits over decades.,Water resistance and cold damage
Nightshard,320,Shadow,Uncommon,Shard ore formed in absolute lightless cave formations.,Strong stealth; shadow damage
Ironbloom,200,Nature,Uncommon,Iron ore with active blooming mineral growth inside.,Minor bleed and nature damage
Coldveil,260,Ice,Uncommon,Veil-like ore with persistent ice mineral layers throughout.,Freeze on hit; slow effect
Runestone,300,Arcane,Uncommon,Stone ore with natural runic formations inside its grain.,Boosts magical enchantment capacity
Blightglass,280,Necrotic,Uncommon,Glass-like ore from necrotic-convergence underground sites.,Life drain; minor fear aura
Wrathiron,250,Fire,Uncommon,Iron ore with intense internal fire mineral pressure.,Heavy burn damage; volatile under impact
Ashveil,220,Fire,Uncommon,Veil-like ore from deep volcanic ash compression zones.,Fire resistance and minor burn
Bloodsteel,310,Necrotic,Uncommon,Steel with deep red blood-mineral channels throughout.,Life drain on hit; wounds bleed more
Tideglass,270,Water,Uncommon,Glass ore from tidal flow convergence deep under sea.,Water resistance; cold aura
Shadowore,260,Shadow,Uncommon,Ore with near-total light absorption surface quality.,Strong stealth; shadow damage
Tempestiron,320,Lightning,Uncommon,Iron ore from storm-strike locations on mountain peaks.,Shock damage; crackles in storms
Froststone,240,Ice,Uncommon,Stone ore from frozen tundra underground cold deposits.,Chill on hit; mild slow effect
Embermetal,280,Fire,Uncommon,Metal with persistent ember mineral energy inside lattice.,Burn damage; warm to the touch
Lunarstone,260,Lunar,Uncommon,Stone with lunar mineral crystallization throughout interior.,Effective vs dark creatures
Ghostiron,300,Shadow,Uncommon,Iron with a ghost-like translucent interior mineral layer.,Minor defense bypass; shadow damage
Venomstone,270,Poison,Uncommon,Stone ore saturated with natural mineral toxin channels.,Persistent poison on wounds
Cosmicglass,320,Arcane,Uncommon,Glass ore with meteorite mineral inclusions throughout.,Boosts magical effects; radiant bonus
Phantomglass,270,Psychic,Uncommon,Glass with psychic mineral resonance; disturbing to handle.,Psychic damage; mild confusion
Starlite,330,Arcane,Uncommon,Ore with meteorite mineral dust visible throughout interior.,Boosts magical power; radiant affinity
Brimshard,290,Fire,Uncommon,Shard ore with sulphur-fire mineral content inside.,Burn damage; toxic fumes on impact
Wrathstone,260,Force,Uncommon,Stone ore with dense kinetic force mineral energy inside.,Kinetic force damage; knockback on hit
Glacstone,300,Ice,Uncommon,Stone from deep glacial ice-mineral convergence deposits.,Freeze on hit; mild slow effect
Spiritglass,280,Arcane,Uncommon,Glass with strong spiritual arcane resonance throughout.,Boosts magical enchantment capacity
Ashbloom,250,Fire,Uncommon,Ore with blooming fire-mineral growth visible at core.,Burn damage and minor nature affinity
Tidesiron,290,Water,Uncommon,Iron from ocean floor deep mineral vent deposits.,Strong water resistance; cold damage
Nightbloom,310,Shadow,Uncommon,Ore with dark blooming mineral formations inside lattice.,Shadow damage; stealth bonus
Lunarite,330,Lunar,Uncommon,Ore with dense lunar mineral crystallization inside grain.,Effective vs dark; boosts lunar magic
Glowferrite,280,Radiant,Uncommon,Ferrite with warm golden-white mineral glow inside.,Radiant damage; minor blind effect
Grimveil,260,Necrotic,Uncommon,Veil-like ore from burial-site necrotic convergence.,Life drain; minor fear aura on armor
Dawnglass,270,Solar,Uncommon,Glass from sun-drenched solstice mineral formations.,Radiant damage; boosts holy power
Moonveil,260,Lunar,Uncommon,Veil-like ore with lunar mineral inclusions throughout.,Effective vs dark; lunar bonus
Volcanore,780,Fire,Rare,Ore drawn directly from the throat of active volcanoes.,Very heavy fire damage; burns armor
Abyssite,820,Shadow,Rare,Ore from deep shadow-convergence abyssal cavern formations.,Absolute stealth; heavy shadow damage
Cryostone,720,Ice,Rare,Stone of extreme arctic cold from deep polar cave deposits.,Freeze on hit; large slow radius
Aetherglass,760,Arcane,Rare,Glass suffused with pure ambient magical aetheric energy.,Greatly boosts all magical effects
Cosmiciron,810,Arcane,Rare,Iron from meteorite deposits with alien mineral patterns.,Boosts magic; adds radiant damage
Phantomstone,740,Psychic,Rare,Stone with overwhelming psychic energy inside its core.,Psychic damage; confusion on hit
Wrathcrystal,780,Force,Rare,Crystal with explosive force mineral energy at its center.,Kinetic force; knockback on every hit
Ghostcrystal,760,Shadow,Rare,Crystal with ghost-like translucent interior mineral layer.,Bypasses physical defense; shadow damage
Gravestone,720,Necrotic,Rare,Stone from deep ancient burial site necrotic convergence.,Heavy life drain; minor undead aura
Dreamcrystal,750,Psychic,Rare,Crystal with dream-energy resonance; causes waking visions.,Confusion and psychic damage on hit
Stormcrystal,840,Lightning,Rare,Crystal charged with storm energy from lightning strikes.,Heavy shock damage; ignites wet targets
Voidore,830,Shadow,Rare,Ore from the deepest null-space void pockets underground.,Heavy shadow damage; silences magic
Tempestcrystal,870,Lightning,Rare,Crystal formed at the center of violent storm convergence zones.,Extreme shock damage; stun on hit
Solstice,810,Solar,Rare,Ore formed only at solstice solar convergence over decades.,Heavy radiant damage; boosts holy
Blightcrystal,780,Necrotic,Rare,Crystal from deep necrotic-convergence underground vaults.,Heavy life drain; corrupts nearby metals
Dreamstone,760,Psychic,Rare,Stone with dream-energy mineral inclusions inside lattice.,Confusion and psychic damage on hit
Wraithstone,800,Shadow,Rare,Stone with ghost-like translucent interior quality inside.,Bypasses significant physical defense
Thundercrystal,850,Lightning,Rare,Crystal with explosive thunder energy inside tight lattice.,Heavy thunder damage; ruptures armor
Gravite,780,Necrotic,Rare,Dense ore from ancient burial site energy convergence.,Heavy life drain; commands minor undead
Frostcrystalline,820,Ice,Rare,Crystalline ore of extreme cold from deep arctic voids.,Freeze on hit; expanding ice radius
Phantomiron,760,Psychic,Rare,Iron with psychic mineral inclusions; unsettling resonance.,Psychic damage; confusion on hit
Solariron,800,Solar,Rare,Iron forged under concentrated solar energy over decades.,Heavy radiant damage; blinds enemies
Spiritferrite,810,Arcane,Rare,Ferrite with strong spiritual arcane resonance inside.,Greatly boosts all magical effects
Moonferrite,790,Lunar,Rare,Ferrite from lunar-mineral convergence deep cave deposits.,Strong vs darkness; lunar bonuses
Lunarferrite,810,Lunar,Rare,Ferrite with dense lunar crystallization patterns inside.,Effective vs dark; boosts lunar magic
Abyssferrite,840,Shadow,Rare,Ferrite from deep shadow-convergence abyssal caverns.,Absolute stealth; heavy shadow damage
Bloodcrystalline,800,Necrotic,Rare,Crystal with pulsing life-drain blood mineral channels.,Heavy life drain; wounds cannot clot
Thunderferrite,820,Lightning,Rare,Ferrite with explosive thunder energy inside its matrix.,Heavy thunder damage; knockback on hit
Phantomferrite,790,Psychic,Rare,Ferrite with psychic resonance; disturbing to keep near.,Psychic damage; mild fear on hit
Cosmicveil,870,Arcane,Rare,Veil-like ore from interplanar convergence deposits.,Boosts all dimensional magical effects
Grimcrystal,740,Necrotic,Rare,Crystal grown in ancient execution site necrotic deposits.,Heavy life drain; fear aura
Galecrystal,760,Air,Rare,Crystal from sky convergence formations; near weightless.,Removes most armor weight
Solarferrite,800,Solar,Rare,Ferrite charged with sustained solar energy over years.,Heavy radiant damage; boosts holy
Spiritstone,820,Arcane,Rare,Stone with intense soul-arcane resonance throughout.,Greatly boosts all magical effects
Cryometal,1350,Ice,Very Rare,Metal of near-absolute zero cold from the deepest ice voids.,Freeze on hit; absolute cold aura
Solarsteel,1280,Solar,Very Rare,Steel forged under centuries of focused solar convergence.,Extreme radiant damage; annihilates dark
Phantomsteel,1200,Psychic,Very Rare,Steel with overwhelming psychic energy in its lattice.,Extreme psychic damage; mass confusion
Gravitesteel,1320,Force,Very Rare,Steel with unnaturally dense gravity force inside.,Shatters armor; immense kinetic impact
Soularite,1400,Arcane,Very Rare,Ore of extreme soul-energy convergence; spiritual resonance.,Extreme magical amplification
Blazesteel,1300,Fire,Very Rare,Steel with extreme fire mineral energy at its core.,Extreme burn damage; melts through armor
Moonheart,1180,Lunar,Very Rare,Ore with intense lunar convergence energy at its center.,Strong vs dark; amplifies moon magic
Stormsteel,1350,Lightning,Very Rare,Steel charged with storm energy from repeated strike sites.,Extreme shock damage; gale aura
Blightmethril,1200,Necrotic,Very Rare,Mithril-weight ore touched by extreme necrotic convergence.,Extreme life drain; mithril lightness
Abyssteel,1450,Shadow,Very Rare,Steel from the deepest shadow-convergence void deposits.,Absolute stealth; extreme shadow damage
Solarveil,1250,Solar,Very Rare,Veil-like ore of intense solar radiant energy inside.,Extreme radiant damage; boosts holy
Wraithmethril,1350,Shadow,Very Rare,Mithril-class ore with ghost-mineral translucence inside.,Bypasses all physical defense; mithril weight
Glacialsteel,1300,Ice,Very Rare,Steel of glacial mass compression over millions of years.,Extreme freeze; mass slow effect
Sunstrike,1450,Solar,Very Rare,Strike-grade ore of pure solar energy; burns through armor.,Extreme radiant; melts through defense
Voidhammer,1400,Shadow,Very Rare,Dense void-ore that destroys magical effects on any impact.,Destroys enchantments on hit
Bloodhammer,1250,Necrotic,Very Rare,Dense ore that devastates life force on impact.,Extreme life drain; wounds refuse to heal
Aetherveil,1350,Arcane,Very Rare,Veil ore of pure aetheric crystallization inside.,Extreme magical amplification; all affinity
Cosmicvoidite,1500,"Arcane, Shadow",Very Rare,Ore where cosmic and void energy converge into dark matrix.,Boosts dimensional magic; void damage
Lunarsteel,1280,Lunar,Very Rare,Steel with dense lunar-mineral inclusions from sacred sites.,Strong vs dark; amplifies lunar effects
Thundersteal,1400,"Lightning, Force",Very Rare,Steel-grade ore with explosive thunder energy inside.,Extreme thunder; shatters all armor
Cosmichammer,1450,"Arcane, Force",Very Rare,Hammer-grade ore with alien kinetic force inside.,Extreme force damage; breaks any barrier
Soulhammer,1350,Arcane,Very Rare,Dense ore of soul energy concentration; spirit-shattering.,Extreme magical amplification; soul damage
Frostvoidite,1300,Ice,Very Rare,Ore where absolute cold and void energy merge inside.,Freeze and void damage combined
Phantomvoidite,1250,"Psychic, Shadow",Very Rare,Ore where psychic and shadow energy converge and merge.,Psychic and shadow damage combined
Aetherstrike,1400,Arcane,Very Rare,Strike-grade aetheric ore; pierces all magical protections.,Pierces magical defenses; extreme damage
Solarcrystal,1280,Solar,Very Rare,Crystal of concentrated solar radiant energy formation.,Extreme radiant damage; boosts holy
Nightmetal,1200,Shadow,Very Rare,Metal of pure night-shadow convergence from deep voids.,Absolute stealth; extreme shadow damage
Cosmicvoidheart,2700,"Arcane, Shadow",Epic,Ore grown where space-between-worlds meets shadow planes.,Boosts all dimensions magic; tears in reality
Dreamvoid,2300,"Psychic, Shadow",Epic,Ore where dream and void converge; waking nightmares within.,Mass psychic damage; fear and confusion aura
Bloodvoid,2350,"Necrotic, Shadow",Epic,Ore where necrotic and void converge; absolute life drain.,Extreme life drain; magic silence on hit
Frostedge,2200,Ice,Epic,Ore with edge-of-absolute-zero cold in razor-sharp lattice.,Extreme freeze on hit; cold immunity
Lunarfang,2350,Lunar,Epic,Fang-like ore formations from deep lunar-convergence voids.,Extreme lunar damage; strong vs darkness
Stormcore,2500,"Lightning, Force",Epic,Core-grade ore of storm-convergence kinetic energy.,Extreme thunder; shatters reality on impact
Shadowvoid,2600,Shadow,Epic,Ore of pure shadow-void convergence; tears light from space.,Absolute darkness; immense shadow damage
Soulfang,2400,Arcane,Epic,Fang-like ore of soul-energy convergence at its tip.,Soul capture; extreme magical amplification
Solarhammer,2300,Solar,Epic,Hammer-grade ore of intense solar radiant energy.,Extreme radiant damage; annihilates darkness
Cosmicfang,2600,"Arcane, Radiant",Epic,Fang-like ore from interplanar meteorite deposits.,Extreme all magical effects; radiant devastation
Chronofang,2500,Temporal,Epic,Fang-like ore of temporal convergence grown over millennia.,Time effects; enemies age on any contact
Gravevoid,2400,Necrotic,Epic,Ore of death-void convergence; absolute life consumption.,Extreme life drain; controls all undead nearby
Starlord,5800,"Arcane, Radiant",Legendary,Ore grown in the core of an ancient collapsed star.,Extreme all magical effects; radiant devastation
Soulmaw,5500,Arcane,Legendary,Ore that consumes soul energy from anything it contacts.,Soul capture; extreme magical amplification
Nightlord,5000,Shadow,Legendary,The apex shadow-convergence ore; absorbs all light and magic.,Absolute darkness; immense shadow damage
Thundercrown,5200,"Lightning, Force",Legendary,Ore from the most powerful storm-convergence in existence.,Extreme thunder; world-shaking knockback
Frozenthrone,4800,Ice,Legendary,Ore of absolute zero cold; freezes time around contact.,Absolute freeze; temporal slow effect
Bloodpact,5100,Necrotic,Legendary,Legendary ore that binds life force permanently on contact.,Extreme life drain; soul binding effect
Suntear,5400,Solar,Legendary,Ore that tears light from darkness permanently on contact.,Annihilates all shadow; extreme radiant
Aethercrown,5800,Arcane,Legendary,The crown of aetheric ore formation; transcends magic itself.,Transcends all known magical limits
Voidmaw,5500,Shadow,Legendary,Ore that consumes all magical energy in its vicinity.,Silences all magic; void consumption
Dreambreach,4900,Psychic,Legendary,Ore that breaches consciousness itself on any contact.,Extreme psychic devastation; mind-shattering
Cosmicwrath,6000,"Arcane, Force",Legendary,Ore of cosmic-wrath convergence; breaks laws of matter.,Breaks all physical and magical laws
Deaththrall,5200,Necrotic,Legendary,Ore that commands the dead and enslaves life on contact.,Extreme life drain; commands undead masses
Skyscale,290,Air,Uncommon,"Scale-like ore from high cliff-face wind erosion deposits.",Reduces armor weight; minor shock bonus
Deeproot,210,Nature,Uncommon,"Ore grown around the roots of ancient massive trees.",Improves healing; minor nature affinity
Grimglass,250,Necrotic,Uncommon,"Dark glass from execution-site mineral convergence.",Life drain; minor fear aura on worn armor
Ashcrystal,270,Fire,Uncommon,"Crystal with dense fire-ash mineral inclusions inside.",Burn damage; fire resistance on armor
Coldcrystal,280,Ice,Uncommon,"Crystal with deep cold mineral energy locked inside.",Freeze on hit; minor slow effect
Tidestone,240,Water,Uncommon,"Dense water-mineral stone from ocean floor deposits.",Strong water resistance on armor
Spiritshard,300,Arcane,Uncommon,"Shard ore with strong spiritual-arcane resonance.",Boosts soul and magical enchantments
Wraithshard,280,Shadow,Uncommon,"Shard with ghost-mineral translucence inside.",Minor defense bypass; shadow affinity
Solarstone,260,Solar,Uncommon,"Stone with warm solar mineral crystallization inside.",Radiant damage; boosts holy effects
Lunarshale,240,Lunar,Uncommon,"Shale with pale lunar mineral inclusions inside.",Effective vs dark creatures; lunar affinity
Bloomshard,220,Nature,Uncommon,"Shard with active bloom-mineral growth inside.",Nature damage; improves regeneration
Stormveil,300,Lightning,Uncommon,"Veil-like ore with storm-static mineral energy.",Shock damage; ignites wet targets
Venombloom,250,Poison,Uncommon,"Ore with blooming poison mineral growth inside lattice.",Persistent poison on wounds inflicted
Blazestone,280,Fire,Uncommon,"Stone with intense fire mineral energy at its core.",Burn damage; warm to the touch
Darkbloom,260,Shadow,Uncommon,"Ore with dark blooming shadow mineral formations.",Shadow damage; minor stealth bonus
Voidbloom,290,Shadow,Uncommon,"Ore with void-shadow blooming formations inside.",Strong shadow damage; silences minor magic
Soulbloom,270,Arcane,Uncommon,"Ore with soul-arcane blooming mineral growth inside.",Boosts magical effects; spiritual bonus
Dreambloom,260,Psychic,Uncommon,"Ore with dream-energy blooming formations inside.",Psychic damage; mild confusion on hit
Galesteel,310,Air,Uncommon,"Steel with air mineral energy reducing its weight.",Reduces armor weight; minor speed boost
Radiantbloom,280,Radiant,Uncommon,"Ore with radiant-energy blooming formations inside.",Radiant damage; minor blind on hit
Bloodbloom,290,Necrotic,Uncommon,"Ore with blood-mineral blooming formations inside.",Life drain on hit; wounds bleed more
Chronite,700,Temporal,Rare,"Ore from time-convergence mineral deposits; oddly aged.",Temporal effects; slows enemies on hit
Aetherhammer,860,Arcane,Rare,"Hammer-grade ore of dense aetheric energy inside.",Greatly boosts magical effects; force damage
Dreamglass,750,Psychic,Rare,"Glass with dream-energy mineral inclusions inside.",Confusion and psychic damage on hit
Voidglass,790,Shadow,Rare,"Glass of near-complete void formation inside.",Heavy shadow damage; silences magic
Spiritmetal,810,Arcane,Rare,"Metal with strong spiritual-arcane resonance inside.",Greatly amplifies all magical effects
Lunarmetal,780,Lunar,Rare,"Metal with dense lunar-mineral inclusions inside.",Strong vs dark; amplifies lunar magic
Aetheriron,820,Arcane,Rare,"Iron with pure aetheric mineral energy inside lattice.",Greatly boosts magical enchantments
Solarstone,840,Solar,Rare,"Stone with intense solar radiant energy inside.",Heavy radiant damage; boosts holy power
Dreamferrite,770,Psychic,Rare,"Ferrite with dream-energy mineral channels inside.",Confusion and psychic damage on hit
Ghostferrite,790,Shadow,Rare,"Ferrite with ghost-mineral translucence inside.",Bypasses physical defense; shadow damage
Radiantglass,800,Radiant,Rare,"Glass with blinding radiant mineral energy inside.",Heavy radiant damage; blinds undead
Phantomalloy,1220,Psychic,Very Rare,"Alloy with overwhelming psychic energy in matrix.",Extreme psychic damage; mass confusion
Voidalloyite,1350,Shadow,Very Rare,"Alloy of pure void-shadow energy; null formation.",Absolute stealth; extreme shadow damage
Solaralloy,1280,Solar,Very Rare,"Alloy forged under centuries of solar convergence.",Extreme radiant damage; sears darkness
Chronoalloy,1400,Temporal,Very Rare,"Alloy formed in time-convergence loops over ages.",Time effects; ages contacted metals
Dreamalloy,1200,Psychic,Very Rare,"Alloy with dream-convergence energy in its matrix.",Mass confusion and psychic damage
Spiritalloy,1350,Arcane,Very Rare,"Alloy with concentrated soul-arcane energy inside.",Extreme magical amplification; soul bonus
Bloomheart,2100,Nature,Epic,"Ore of the most powerful nature-convergence inside.",Extreme nature damage; heals all allies
Venomcore,2200,Poison,Epic,"Core-grade ore saturated with lethal toxin chains.",Extreme persistent poison; no healing
Frostvortex,2350,Ice,Epic,"Ore of ice-vortex convergence; absolute cold inside.",Extreme freeze; creates expanding ice zone
Bloodvortex,2300,Necrotic,Epic,"Ore of blood-vortex convergence; extreme life drain.",Extreme life drain; wounds consume life
Tidaltear,2250,Water,Epic,"Ore where tidal force tears through matter on hit.",Extreme water pressure; shatters armor
Spirithammer,5300,Arcane,Legendary,"Hammer-grade legendary ore of soul-energy convergence.",Extreme magical power; soul capture
